scenario,workload,rank,policy,successful_run_count,placement_success_ratio,deadline_met_ratio,jobs_unplaced,p95_total_time_seconds,node_load_imbalance_ratio
multi,burst,1,compute_aware,20,0.9633333333333333,0.11418685121107267,11.0,267.7741090596995,1.2076174140547262
multi,burst,2,network_only,20,0.9633333333333333,0.11418685121107267,11.0,267.7741090596995,1.2076174140547262
multi,burst,3,completion_time,20,0.9633333333333333,0.08650519031141868,11.0,105.94254820536644,0.7346241604902739
multi,burst,4,compute_only,20,0.9633333333333333,0.08304498269896193,11.0,111.26072692402083,0.7163047645065231
normal,burst,1,compute_only,20,1.0,0.14,0.0,50.673536897143876,0.09273618495495704
normal,burst,2,completion_time,20,1.0,0.13333333333333333,0.0,46.12932981369982,0.20016659728003233
normal,burst,3,compute_aware,20,1.0,0.11666666666666667,0.0,134.67307262692253,0.7094129028053173
normal,burst,4,network_only,20,1.0,0.05,0.0,372.44681625167146,1.4142135623730951
single,burst,1,network_only,20,1.0,0.12666666666666668,0.0,266.8452149793662,1.1337548235840058
single,burst,2,compute_only,20,1.0,0.12,0.0,50.68128644313739,0.0697614984548545
single,burst,3,completion_time,20,1.0,0.11333333333333333,0.0,46.12932981369982,0.12569805089976535
single,burst,4,compute_aware,20,1.0,0.09,0.0,175.7718504933663,0.78029908795709
