scenario,policy,workload,run_count,successful_run_count,failed_run_count,placement_success_ratio_mean,placement_success_ratio_stddev,placement_success_ratio_minimum,placement_success_ratio_maximum,jobs_unplaced_mean,jobs_unplaced_stddev,jobs_unplaced_minimum,jobs_unplaced_maximum,deadline_met_ratio_mean,deadline_met_ratio_stddev,deadline_met_ratio_minimum,deadline_met_ratio_maximum,average_queue_wait_seconds_mean,average_queue_wait_seconds_stddev,average_queue_wait_seconds_minimum,average_queue_wait_seconds_maximum,p95_queue_wait_seconds_mean,p95_queue_wait_seconds_stddev,p95_queue_wait_seconds_minimum,p95_queue_wait_seconds_maximum,average_total_time_seconds_mean,average_total_time_seconds_stddev,average_total_time_seconds_minimum,average_total_time_seconds_maximum,p95_total_time_seconds_mean,p95_total_time_seconds_stddev,p95_total_time_seconds_minimum,p95_total_time_seconds_maximum,node_load_imbalance_ratio_mean,node_load_imbalance_ratio_stddev,node_load_imbalance_ratio_minimum,node_load_imbalance_ratio_maximum
multi,completion_time,burst,20,20,0,0.9633333333333333,0.0,0.9633333333333334,0.9633333333333334,11.0,0.0,11.0,11.0,0.08650519031141868,0.0,0.08650519031141868,0.08650519031141868,55.291746056080534,0.0,55.291746056080534,55.291746056080534,104.08980040708522,0.0,104.08980040708522,104.08980040708522,57.050549338072116,0.0,57.050549338072116,57.050549338072116,105.94254820536644,0.0,105.94254820536645,105.94254820536645,0.7346241604902739,0.0,0.7346241604902739,0.7346241604902739
multi,compute_aware,burst,20,20,0,0.9633333333333333,0.0,0.9633333333333334,0.9633333333333334,11.0,0.0,11.0,11.0,0.11418685121107267,0.0,0.11418685121107267,0.11418685121107267,120.01432009380976,0.0,120.01432009380976,120.01432009380976,266.5497268153152,0.0,266.5497268153152,266.5497268153152,121.66372454417368,0.0,121.66372454417368,121.66372454417368,267.7741090596995,0.0,267.7741090596995,267.7741090596995,1.2076174140547262,0.0,1.2076174140547262,1.2076174140547262
multi,compute_only,burst,20,20,0,0.9633333333333333,0.0,0.9633333333333334,0.9633333333333334,11.0,0.0,11.0,11.0,0.08304498269896193,0.0,0.08304498269896193,0.08304498269896193,55.34107053756192,0.0,55.34107053756191,55.34107053756191,110.18877631184814,0.0,110.18877631184814,110.18877631184814,57.11921516790899,0.0,57.11921516790898,57.11921516790898,111.26072692402083,0.0,111.26072692402083,111.26072692402083,0.7163047645065231,0.0,0.7163047645065231,0.7163047645065231
multi,network_only,burst,20,20,0,0.9633333333333333,0.0,0.9633333333333334,0.9633333333333334,11.0,0.0,11.0,11.0,0.11418685121107267,0.0,0.11418685121107267,0.11418685121107267,120.01432009380976,0.0,120.01432009380976,120.01432009380976,266.5497268153152,0.0,266.5497268153152,266.5497268153152,121.66372454417368,0.0,121.66372454417368,121.66372454417368,267.7741090596995,0.0,267.7741090596995,267.7741090596995,1.2076174140547262,0.0,1.2076174140547262,1.2076174140547262
normal,completion_time,burst,20,20,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,22.4237941851374,0.0,22.4237941851374,22.4237941851374,44.3945354799648,0.0,44.3945354799648,44.3945354799648,24.280593675579322,0.0,24.280593675579322,24.280593675579322,46.12932981369982,0.0,46.12932981369982,46.12932981369982,0.20016659728003233,0.0,0.20016659728003236,0.20016659728003236
normal,compute_aware,burst,20,20,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.11666666666666667,0.0,0.11666666666666667,0.11666666666666667,54.645296987974824,0.0,54.645296987974824,54.645296987974824,133.7101372081369,0.0,133.7101372081369,133.7101372081369,56.429826720824394,0.0,56.429826720824394,56.429826720824394,134.67307262692253,0.0,134.67307262692253,134.67307262692253,0.7094129028053173,0.0,0.7094129028053173,0.7094129028053173
normal,compute_only,burst,20,20,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,22.469906266497855,0.0,22.469906266497855,22.469906266497855,47.84936468771246,0.0,47.84936468771246,47.84936468771246,24.365744490126502,0.0,24.365744490126502,24.365744490126502,50.673536897143876,0.0,50.673536897143876,50.673536897143876,0.09273618495495704,0.0,0.09273618495495704,0.09273618495495704
normal,network_only,burst,20,20,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,186.84788961512868,0.0,186.84788961512868,186.84788961512868,370.4481569111311,0.0,370.4481569111311,370.4481569111311,188.77745481812502,0.0,188.77745481812502,188.77745481812502,372.44681625167146,0.0,372.44681625167146,372.44681625167146,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951
single,completion_time,burst,20,20,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.11333333333333333,0.0,0.11333333333333333,0.11333333333333333,22.4945278050021,0.0,22.4945278050021,22.4945278050021,44.3945354799648,0.0,44.3945354799648,44.3945354799648,24.370871462620165,0.0,24.370871462620165,24.370871462620165,46.12932981369982,0.0,46.12932981369982,46.12932981369982,0.12569805089976535,0.0,0.12569805089976535,0.12569805089976535
single,compute_aware,burst,20,20,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,67.88532022119828,0.0,67.88532022119828,67.88532022119828,174.8808198229611,0.0,174.8808198229611,174.8808198229611,69.61180418980881,0.0,69.61180418980881,69.61180418980881,175.7718504933663,0.0,175.7718504933663,175.7718504933663,0.78029908795709,0.0,0.78029908795709,0.78029908795709
