time_ns,scenario,job_id,job_type,source_node,placement_status,algorithm,selected_node,route,rtt_ns,hop_count,gpu_util_percent,queue_length,compute_speed,network_score,compute_score,total_score,network_time_ms,queue_wait_time_ms,compute_time_ms,total_time_ms,failed_isls
0,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34584483.09822839,4,20.0,1,0.9,,,,,,,,
0,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15908863.750192462,2,,,,,,,,,,,
0,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15908863.750192462,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
0,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34584483.09822839,4,,,,,,,34.58448309822839,1111.111111111111,1111.111111111111,2256.8067053204504,
100000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34585890.512450054,4,20.0,1,0.9,,,,,,,,
100000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15905109.350895742,2,,,,,,,,,,,
100000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15905109.350895742,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
100000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34585890.512450054,4,,,,,,,34.58589051245006,1111.111111111111,1111.111111111111,2256.8081127346722,
200000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34587292.7578154,4,20.0,1,0.9,,,,,,,,
200000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15901359.779945435,2,,,,,,,,,,,
200000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15901359.779945435,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
200000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34587292.7578154,4,,,,,,,34.5872927578154,1111.111111111111,1111.111111111111,2256.8095149800374,
300000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34588701.707756564,4,20.0,1,0.9,,,,,,,,
300000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15897606.983662302,2,,,,,,,,,,,
300000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15897606.983662302,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
300000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34588701.707756564,4,,,,,,,34.58870170775656,1111.111111111111,1111.111111111111,2256.810923929979,
400000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34590114.22789729,4,20.0,1,0.9,,,,,,,,
400000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15893855.824510511,2,,,,,,,,,,,
400000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15893855.824510511,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
400000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34590114.22789729,4,,,,,,,34.59011422789729,1111.111111111111,1111.111111111111,2256.81233645012,
500000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34591531.836541735,4,20.0,1,0.9,,,,,,,,
500000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15890106.10055857,2,,,,,,,,,,,
500000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15890106.10055857,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
