time_ns,source,destination,route,rtt_ns,hop_count,failed_isls,status
0,12,13,12-1-0-3-13,29423137.7582285441,4,,NORMAL
100000000,12,13,12-1-0-3-13,29420274.7523780316,4,,NORMAL
200000000,12,13,12-1-0-3-13,29417416.2549379691,4,,NORMAL
300000000,12,13,12-1-0-3-13,29414557.0226525590,4,,NORMAL
400000000,12,13,12-1-0-3-13,29411701.9179692790,4,,NORMAL
500000000,12,13,12-1-0-3-13,29408850.1008567959,4,,NORMAL
600000000,12,13,12-1-0-3-13,29406002.1623740010,4,,NORMAL
700000000,12,13,12-1-0-3-13,29403159.0706807673,4,,NORMAL
800000000,12,13,12-1-0-3-13,29400312.8807676099,4,,NORMAL
900000000,12,13,12-1-0-3-13,29397478.8448407762,4,,NORMAL
1000000000,12,13,12-1-0-3-13,29394645.6294133514,4,,NORMAL
1100000000,12,13,12-1-0-3-13,29391816.5416989326,4,,NORMAL
1200000000,12,13,12-1-0-3-13,29388984.9375459999,4,,NORMAL
1300000000,12,13,12-1-0-3-13,29386162.4322737679,4,,NORMAL
1400000000,12,13,12-1-0-3-13,29383343.8015010655,4,,NORMAL
1500000000,12,13,12-1-0-3-13,29380523.6305930093,4,,NORMAL
1600000000,12,13,12-1-0-3-13,29377712.4176221453,4,,NORMAL
1700000000,12,13,12-1-0-3-13,29374903.0804625936,4,,NORMAL
1800000000,12,13,12-1-0-3-13,29372094.2023473755,4,,NORMAL
1900000000,12,13,12-1-0-3-13,29369298.0646757148,4,,NORMAL
2000000000,12,13,12-1-0-3-13,29366492.1285677999,4,,NORMAL
2100000000,12,13,12-1-0-3-13,29363699.0425060876,4,,NORMAL
2200000000,12,13,12-1-0-3-13,29360906.5260974243,4,,NORMAL
2300000000,12,13,12-1-0-3-13,29358122.4996629842,4,,NORMAL
2400000000,12,13,12-1-0-3-13,29355330.5662655719,4,,NORMAL
2500000000,12,13,12-1-0-3-13,29352548.7601813152,4,,NORMAL
2600000000,12,13,12-1-0-3-13,29349771.0818063542,4,,NORMAL
2700000000,12,13,12-1-0-3-13,29346997.9954928644,4,,NORMAL
2800000000,12,13,12-1-0-3-13,29344223.1256974824,4,,NORMAL
2900000000,12,13,12-1-0-3-13,29341458.7628897540,4,,NORMAL
3000000000,12,13,12-1-0-3-13,29338691.8913970292,4,,NORMAL
3100000000,12,13,12-1-0-3-13,29335927.8649162576,4,,NORMAL
3200000000,12,13,12-1-0-3-13,29333173.8257661983,4,,NORMAL
3300000000,12,13,12-1-0-3-13,29330420.4110861309,4,,NORMAL
3400000000,12,13,12-1-0-3-13,29327673.5346315429,4,,NORMAL
3500000000,12,13,12-1-0-3-13,29324923.3701694086,4,,NORMAL
3600000000,12,13,12-1-0-3-13,29322179.2257006876,4,,NORMAL
3700000000,12,13,12-1-0-3-13,29319439.6725743189,4,,NORMAL
3800000000,12,13,12-1-0-3-13,29316699.3063753769,4,,NORMAL
3900000000,12,13,12-1-0-3-13,29313966.9157105796,4,,NORMAL
4000000000,12,13,12-1-0-3-13,29311244.0714721829,4,,NORMAL
4100000000,12,13,12-1-0-3-13,29308514.4173384458,4,,NORMAL
4200000000,12,13,12-1-0-3-13,29305792.1572520062,4,,NORMAL
4300000000,12,13,12-1-0-3-13,29303072.7148438878,4,,NORMAL
4400000000,12,13,12-1-0-3-13,29300363.8711474612,4,,NORMAL
4500000000,12,13,12-1-0-3-13,29297646.9095280394,4,,NORMAL
4600000000,12,13,12-1-0-3-13,29294939.4840996340,4,,NORMAL
4700000000,12,13,12-1-0-3-13,29292234.0473051071,4,,NORMAL
4800000000,12,13,12-1-0-3-13,29289531.3214910626,4,,NORMAL
4900000000,12,13,12-1-0-3-13,29286835.6567555740,4,,NORMAL
5000000000,12,13,12-1-0-3-13,29284142.2319751866,4,,NORMAL
5100000000,12,13,12-1-0-3-13,29281450.7964030840,4,,NORMAL
5200000000,12,13,12-1-0-3-13,29278763.9550101757,4,,NORMAL
5300000000,12,13,12-1-0-3-13,29276074.4207189865,4,,NORMAL
5400000000,12,13,12-1-0-3-13,29273394.5288301744,4,,NORMAL
5500000000,12,13,12-1-0-3-13,29270722.4119579978,4,,NORMAL
5600000000,12,13,12-1-0-3-13,29268049.5710983351,4,,NORMAL
5700000000,12,13,12-1-0-3-13,29265378.9784050100,4,,NORMAL
5800000000,12,13,12-1-0-3-13,29262713.5548840873,4,,NORMAL
5900000000,12,13,12-1-0-3-13,29260050.9556331560,4,,NORMAL
6000000000,12,13,12-1-0-3-13,29257389.3118924052,4,,NORMAL
6100000000,12,13,12-1-0-3-13,29254732.2454682738,4,,NORMAL
6200000000,12,13,12-1-0-3-13,29252080.8242118582,4,,NORMAL
6300000000,12,13,12-1-0-3-13,29249436.7127785161,4,,NORMAL
6400000000,12,13,12-1-0-3-13,29246790.3555867970,4,,NORMAL
6500000000,12,13,12-1-0-3-13,29244147.7566774413,4,,NORMAL
6600000000,12,13,12-1-0-3-13,29241508.3747830056,4,,NORMAL
6700000000,12,13,12-1-0-3-13,29238875.9873759449,4,,NORMAL
6800000000,12,13,12-1-0-3-13,29236244.0128895342,4,,NORMAL
6900000000,12,13,12-1-0-3-13,29233615.9989393577,4,,NORMAL
7000000000,12,13,12-1-0-3-13,29230995.5472637452,4,,NORMAL
