job_id,job_type,arrival_time_ns,scenario,algorithm,placement_status,selected_node,route,rtt_ns,network_time_ms,queue_wait_time_ms,compute_time_ms,start_time_ms,finish_time_ms,total_time_ms,deadline_ms,deadline_met,failed_isls
burst_job_001,image_inference,0,NORMAL_BURST,completion_time,PLACED,3,12-1-0-3,21230481.690810062,21.230481690810063,0.0,708.3333333333334,21.230481690810063,729.5638150241434,729.5638150241434,1500.0,True,
burst_job_002,object_detection,1720689655,NORMAL_BURST,completion_time,PLACED,3,12-1-0-3,21174583.377956938,21.17458337795694,0.0,1208.3333333333335,1741.8642383779568,2950.19757171129,1229.5079167112901,4000.0,True,
burst_job_003,llm_inference,3441379310,NORMAL_BURST,completion_time,PLACED,3,12-1-0-3,21118950.518657602,21.118950518657602,0.0,2750.0,3462.4982605186574,6212.498260518658,2771.118950518658,10000.0,True,
burst_job_004,image_inference,5162068966,NORMAL_BURST,completion_time,PLACED,0,12-1-0,15718652.60486971,15.71865260486971,0.0,1000.0,5177.78761860487,6177.78761860487,1015.7186526048699,3000.0,True,
burst_job_005,object_detection,6882758621,NORMAL_BURST,completion_time,PLACED,3,12-1-0-3,21008506.175668824,21.008506175668824,0.0,1333.3333333333335,6903.767127175669,8237.100460509002,1354.341839509002,3000.0,True,
burst_job_006,llm_inference,8603448276,NORMAL_BURST,completion_time,PLACED,3,12-1-0-3,20950504.14192895,20.95050414192895,0.0,2666.666666666667,8624.398780141928,11291.065446808596,2687.6171708085967,8000.0,True,
burst_job_007,image_inference,10324137931,NORMAL_BURST,completion_time,PLACED,0,12-1-0,15527487.070505159,15.52748707050516,0.0,900.0,10339.665418070505,11239.665418070505,915.5274870705052,2500.0,True,
burst_job_008,object_detection,12044827586,NORMAL_BURST,completion_time,PLACED,3,12-1-0-3,20841873.36804822,20.84187336804822,0.0,1250.0,12065.669459368048,13315.669459368048,1270.8418733680483,6000.0,True,
burst_job_009,llm_inference,13765517241,NORMAL_BURST,completion_time,PLACED,3,12-1-0-3,20788024.029635184,20.788024029635185,0.0,2791.666666666667,13786.305265029634,16577.971931696302,2812.4546906963024,6000.0,True,
burst_job_010,image_inference,15486206897,NORMAL_BURST,completion_time,PLACED,0,12-1-0,15342965.66738503,15.34296566738503,0.0,1050.0,15501.549862667385,16551.549862667387,1065.342965667387,2000.0,True,
burst_job_011,object_detection,17206896552,NORMAL_BURST,completion_time,PLACED,3,12-1-0-3,20678211.540781174,20.678211540781174,0.0,1166.6666666666667,17227.57476354078,18394.241430207447,1187.3448782074483,5000.0,True,
burst_job_012,llm_inference,18927586207,NORMAL_BURST,completion_time,PLACED,3,12-4-3,17014782.498536468,17.01478249853647,0.0,2708.3333333333335,18944.600989498536,21652.93432283187,2725.348115831868,12000.0,True,
